dataset,agent_type,provider,model,instance_idx,resolved,num_steps,success,has_output
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0011,1,38,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0012,1,68,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0013,0,86,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0014,0,28,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0015,0,52,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0016,1,44,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0017,0,44,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0018,1,54,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-2.5-pro,0019,0,16,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0000,0,26,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0001,1,100,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0002,1,76,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0003,1,26,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0004,1,64,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0005,1,44,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0006,1,68,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0007,1,100,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0008,1,30,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0009,1,30,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0010,1,90,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0011,1,48,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0012,1,26,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0013,1,80,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0014,0,78,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0015,1,44,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0016,1,28,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0017,0,62,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0018,0,92,0,True
swebench-verified,multi-agent-centralized,gemini,gemini-3-flash-preview,0019,0,28,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0000,0,30,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0001,1,34,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0002,1,58,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0003,1,26,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0004,1,14,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0005,1,60,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0006,0,96,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0007,0,40,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0008,1,22,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0009,1,42,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0010,1,74,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0011,1,82,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0012,1,18,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0013,0,84,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0014,0,42,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0015,1,32,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0016,1,56,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0017,0,66,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0018,0,152,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5,0019,0,28,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0000,0,40,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0001,0,10,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0002,0,80,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0003,1,20,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0004,1,28,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0005,1,42,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0006,1,76,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0007,0,72,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0008,1,38,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0009,1,42,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0010,1,70,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0011,0,100,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0012,1,40,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0013,0,82,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0014,0,36,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0015,1,48,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0016,1,40,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0017,0,88,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0018,0,56,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-mini,0019,0,32,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0000,0,52,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0001,0,84,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0002,0,16,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0003,1,36,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0004,1,48,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0005,1,94,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0006,0,136,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0007,0,118,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0008,1,16,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0009,1,134,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0010,0,152,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0011,1,74,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0012,1,44,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0013,0,194,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0014,0,46,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0015,0,14,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0016,0,146,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0017,0,8,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0018,0,78,0,True
swebench-verified,multi-agent-centralized,openai,gpt-5-nano,0019,0,22,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0000,0,60,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0001,1,96,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0002,1,86,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0003,1,74,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0004,1,64,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0005,1,82,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0006,0,96,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0007,0,78,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0008,1,68,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0009,1,64,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0010,0,116,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0011,1,58,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0012,0,84,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0013,1,80,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0014,0,74,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0015,1,68,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0016,1,74,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0017,0,82,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0018,0,76,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-20250514,0019,0,68,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0000,0,66,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0001,0,90,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0002,1,74,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0003,1,66,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0004,1,70,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0005,1,70,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0006,1,78,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0007,0,82,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0008,1,66,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0009,1,76,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0010,1,74,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0011,1,58,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0012,1,82,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0013,1,82,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0014,0,68,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0015,1,76,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0016,1,74,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0017,0,78,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0018,1,66,0,True
swebench-verified,multi-agent-decentralized,anthropic,claude-sonnet-4-5-20250929,0019,0,68,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0000,0,48,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0001,0,6,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0002,0,6,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0003,1,22,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0004,0,50,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0005,0,18,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0006,0,66,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0007,0,6,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0008,1,14,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0009,1,44,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0010,1,44,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0011,1,48,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0012,0,6,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0013,0,6,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0014,0,32,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0015,0,6,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0016,0,26,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0017,0,48,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0018,0,86,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.0-flash,0019,0,24,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0000,0,10,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0001,0,82,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0002,1,38,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0003,0,24,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0004,1,12,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0005,1,24,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0006,0,70,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0007,0,80,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0008,1,16,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0009,1,38,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0010,0,244,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0011,1,38,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0012,1,24,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0013,0,38,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0014,0,20,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0015,0,24,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0016,0,38,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0017,0,84,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0018,0,28,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-flash,0019,0,40,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0000,0,12,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0001,0,52,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0002,1,76,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0003,1,24,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0004,1,36,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0005,1,38,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0006,0,58,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0007,0,84,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0008,1,28,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0009,1,18,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0010,0,50,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0011,1,34,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0012,0,12,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0013,0,44,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0014,0,20,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0015,1,26,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0016,1,46,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0017,0,66,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0018,0,68,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-2.5-pro,0019,0,14,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0000,0,48,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0001,1,70,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0002,1,74,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0003,1,28,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0004,1,74,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0005,1,78,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0006,1,68,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0007,1,102,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0008,1,30,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0009,1,20,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0010,1,52,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0011,1,46,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0012,1,32,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0013,1,94,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0014,0,38,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0015,1,72,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0016,1,38,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0017,0,50,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0018,1,94,0,True
swebench-verified,multi-agent-decentralized,gemini,gemini-3-flash-preview,0019,0,44,0,True
swebench-verified,multi-agent-decentralized,openai,gpt-5,0000,0,26,0,True
swebench-verified,multi-agent-decentralized,openai,gpt-5,0001,1,26,0,True
swebench-verified,multi-agent-decentralized,openai,gpt-5,0002,1,70,0,True
swebench-verified,multi-agent-decentralized,openai,gpt-5,0003,1,38,0,True
swebench-verified,multi-agent-decentralized,openai,gpt-5,0004,1,20,0,True
swebench-verified,multi-agent-decentralized,openai,gpt-5,0005,1,38,0,True
swebench-verified,multi-agent-decentralized,openai,gpt-5,0006,1,130,0,True
swebench-verified,multi-agent-decentralized,openai,gpt-5,0007,0,4,0,True
swebench-verified,multi-agent-decentralized,openai,gpt-5,0008,1,20,0,True
swebench-verified,multi-agent-decentralized,openai,gpt-5,0009,1,32,0,True
swebench-verified,multi-agent-decentralized,openai,gpt-5,0010,1,88,0,True
swebench-verified,multi-agent-decentralized,openai,gpt-5,0011,1,52,0,True
swebench-verified,multi-agent-decentralized,openai,gpt-5,0012,1,50,0,True
swebench-verified,multi-agent-decentralized,openai,gpt-5,0013,1,64,0,True
swebench-verified,multi-agent-decentralized,openai,gpt-5,0014,0,34,0,True
swebench-verified,multi-agent-decentralized,openai,gpt-5,0015,1,36,0,True
swebench-verified,multi-agent-decentralized,openai,gpt-5,0016,1,24,0,True
swebench-verified,multi-agent-decentralized,openai,gpt-5,0017,0,32,0,True
